Keyword,Column_To_Search,Category,Entity_Name
מסלול מורחב,Original_Desc,מסלול בנק,בנק
עמל.ערוץ,Original_Desc,עמלות,בנק
ש.שלמה חברה,Original_Desc,ביטוח,ש.שלמה חברה
חברת החשמל,Original_Desc,חשמל,חברת החשמל
חברת פרטנר,Original_Desc,פרטנר,חברת פרטנר
בזק-הוראות,Original_Desc,בזק,בזק-הוראות
קונה,Original_Desc,קונה,קונה
נובולה,Original_Desc,נובולה,נובולה
טיבה,Original_Ext_Desc,בדק מעליות,טיבה
ארדן,Original_Ext_Desc,ארדן,ארדן
גל אנתבי,Original_Ext_Desc,שירותי ניקיון,גל אנתבי
חלבי כרמי,Original_Ext_Desc,גינון,חלבי כרמי
